"beerGraphs$Brewery[i]","beerGraphs$Location[i]","lon","lat"
"Suomenlinnan Panimo","",NA,NA
"Brauerei-Gasthof Kundmüller","Kolmsdorf, Bayern, DE",10.7608167,49.8819522
"Strange Land Brewery","",NA,NA
"All Inn Brewing Co.","",NA,NA
"Brouwerij De Kroon","",3.6273375,51.0372024
"Brothers & Co.","",-123.1409977,47.6531467
"Brasserie de Tahiti","",-149.3164749,-17.7311239
"TRIGGER","",-90.0813265,46.4913634
"Huske Hardware House Restaurant & Brewery","Fayetteville, NC, US",NA,NA
"Old Glory Brewing Company","",NA,NA
"Martin City Brewing Company","",NA,NA
"Confraria do Marquês","",NA,NA
"Rudgate Brewery","North Yorkshire, GB",-1.5412015,53.9915028
"Brasserie d'Ebly","Arrondissement of Neufchâteau, Walloon Region, BE",5.434177,49.8417539
"Pivovar Uherský Brod","",17.6498377,49.0302725
"Sea Level Brewing Company","Port Williams, Nova Scotia, CA",-64.4100234,45.0979976
"John Harvard's Brew House","Cambridge, MA, US",-71.1097335,42.3736158
"Brasserie St. James","Reno, NV, US",-119.8138027,39.5296329
"Brew Hub","",NA,NA
"Sierra Nevada / New Glarus","",-89.6351217,42.8144473
"Copper Dragon","Skipton, North Yorkshire, GB",-2.0162787,53.9628495
"Puyallup River Brewing Company","Puyallup, WA, US",-122.2928974,47.1853785
"Brauerei Gasthof Grasser","Königsfeld, Bayern, DE",11.166401,49.9457967
"Wiens Brewing","Temecula, CA, US",-117.1483648,33.4936391
"Botto Bier","",NA,NA
"Island Brewing Co. (Fiji)","Sławków, Śląskie, PL",19.3880198,50.3045979
"Pivovar Eggenberg","",NA,NA
"Mike Ditka","",NA,NA
"LoverBeer","Torino, TO, IT",7.6868565,45.070312
"Grist House Brewing","",NA,NA
"Tampa Bay Brew Bus","",-82.4571776,27.950575
"Brasserie du Mont Salève","Neydens, Rhône-Alpes, FR",6.104318,46.120361
"The Kite Brewery","Llanelli, Carmarthenshire, GB",-4.160248,51.680886
"Baerlic Brewing","",NA,NA
"Bracino Cervecería","",NA,NA
"Meckatzer Löwenbräu","Heimenkirch, Bayern, DE",9.9035823,47.6294152
"The Hills Cider Company","",NA,NA
"Collaboration: De Struise / Three Floyds","",NA,NA
"Bitter Old Fecker Rustic Ales","",4.083352,44.127204
"Dartmoor Brewery","",-122.8283291,49.2793572
"Lone Tree Brewing Co.","Lone Tree, CO, US",-104.8970678,39.536482
"Carter's Brewing","Billings, MT, US",-108.5006904,45.7832856
"Collaboration: Ken Schmidt/Maui/Stone","",NA,NA
"Le Purgatoire (Le Trou du Diable & Dieu du Ciel!)","",NA,NA
"Rat Brewery","",NA,NA
"Horn","",15.65716,48.66607
"Birrificio Antoniano","",NA,NA
"To Øl","",-115.4980666,32.6657046
"Juan Caloto","",-76.45191,3.21421
"LOCA Irmãos Ferraro","",NA,NA
"Brauerei Schloss Starkenberg","Imst,                   AT",10.73954,47.24013
"Blacklist Beer LLC","",NA,NA
"Urban Orchard Cider Company","",NA,NA
"Birra Barganno","",NA,NA
"Rodinny Pivovar Bernard A.s.","",NA,NA
"Farmhouse Organic","",-122.9848758,47.0701894
"Collaboration: Dogfish / Victory / Stone","",NA,NA
"South Australian Brewing Co. (Lion Nathan)","",NA,NA
"Keltius Cerveza Artesanal","Ourense, Spain, ES",NA,NA
"Collaboration: Brouwerij 't IJ / Brouwerij De Molen","",NA,NA
"Cretan Microbrewery","",NA,NA
"Brauerei Rittmayer","Forchheim, Bayern, DE",11.0698834,49.7213064
"Sagene Bryggeri","",NA,NA
"Oregon Trail Brewery","Corvallis, OR, US",-123.2620435,44.5645659
"Brew Brothers Brewery","Calgary, AB, CA",-114.0708459,51.0486151
"Fat Heads/Jackie O's Collab","",NA,NA
"Hofbräu Munchin","",11.7020196,48.1439234
"La Socarrada","",2.041847,42.500767
"Sideswipe","",NA,NA
"Offshore Ale Co.","Oak Bluffs, MA, US",-70.5619724,41.4542793
"Sonoran Brewing Company","Scottsdale, AZ, US",-111.9260519,33.4941704
"Ascot Ales","Sandhurst, Berkshire, GB",-0.804268,51.3462419
"Wachusett Brewing Company","Westminster, MA, US",-71.9106308,42.5459227
"Beltway Brewing Company","",NA,NA
"A1A Ale Works","St Augustine, FL, US",-81.3124341,29.9012437
"Brasserie Docteur Gab's","Lausanne, VD, CH",6.6322734,46.5196535
"Millersburg Brewing Company","",-81.9179198,40.5545071
